pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,raw_mces_result,error_message,result_type,is_exact,is_lower_bound,d1,d_bond,d_incident,d2,d_rascal,exact_distance
45488,CC1(C)CCC2(CCC3(C)C(C2C1)C(=O)C=C1C2(C)C=C(C#N)C(=O)C(C)(C)C2CCC31C)C(=O)N1C=CN=C1,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCC(C)C,541.736,540.87,0.866,2.003620863,0.291220903,20.5,2,0,0,0,10,"(0, 20.5, 0.29122090339660645, 2, 0, 10, 20.5, None, None, None, 40.75)",,lower_bound,0,1,20.5,,,,40.75,33.5
46707,CCC(C1CCC(C)C(O1)C(C)C(O)C(C)C(=O)C(CC)C1OC2(OC3(CCC(C)(O3)C3CCC(O)(CC)C(C)O3)C(O)C=C2)C(C)CC1C)C(O)=O,[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,751.011,751.231,0.22,2.135150909,0.640319347,19,2,0,0,0,10,"(0, 19.0, 0.6403193473815918, 2, 0, 10, 19.0, None, None, None, 46.5)",,lower_bound,0,1,19,,,,46.5,75
47035,[H][C@](COC(=O)CCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC,765.258,765.258,2.27E-13,58.61013246,57.19160342,6,1,0,1,1,10,"(0, 6.0, 57.19160342216492, 1, 1, 10, 0.0, 0.0, 0.0, 0.0, 12.0)",,exact,1,0,0,0,0,0,12,30
49642,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC(C)C,[H][C@@](COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,751.231,751.039,0.192,3.801560879,2.267198563,11,2,0,0,0,10,"(0, 11.0, 2.2671985626220703, 2, 0, 10, 11.0, None, None, None, 24.0)",,lower_bound,0,1,11,,,,24,74
50640,COC1=CC(F)=C(C=C1C1=C(CN2C(C)C(OC2=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C=C(C=C1)C(F)(F)F)C(C)C,CCCCCCCCCCCCCC(=O)OC[C@@H](O)COC(=O)CCC\C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCCCC,637.514,638.927,1.413,1.786611557,0.228386879,30,2,0,0,0,10,"(0, 30.0, 0.22838687896728516, 2, 0, 10, 30.0, None, None, None, 49.0)",,lower_bound,0,1,30,,,,49,48
57869,[H][C@@](COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)(COP(O)(O)=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CC[C@H](O)CC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,732.936,733.216,0.28,2.955848932,1.496349812,18,2,0,0,0,10,"(0, 18.0, 1.496349811553955, 2, 0, 10, 18.0, None, None, None, 37.0)",,lower_bound,0,1,18,,,,37,18
61065,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCC,793.312,793.312,4.55E-13,54.81280589,53.32610726,6,1,0,1,1,10,"(0, 5.999999999999963, 53.32610726356506, 1, 1, 10, 0.0, 0.0, 0.0, 0.0, 11.0)",,exact,1,0,0,0,0,0,11,6
71474,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCC,737.204,737.204,1.14E-13,7.908501387,5.654758692,4,1,0,1,1,10,"(0, 4.000000000000372, 5.65475869178772, 1, 1, 10, 1.0, 0.0, 2.0, 1.0, 6.0)",,exact,1,0,1,0,2,1,6,4
72734,[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC,765.258,765.258,0,20.59746528,18.99636054,6,1,0,1,1,10,"(0, 5.999999999999993, 18.996360540390015, 1, 1, 10, 2.0, 0.0, 4.0, 2.0, 9.0)",,exact,1,0,2,0,4,2,9,6
78249,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](CCCCCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCC(C)CC)[C@@H](O)CC1=O,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC,652.954,653.042,0.088,6.077927113,4.506808281,10,1,0,1,1,10,"(0, 10.0, 4.506808280944824, 1, 1, 10, 6.0, 2.0, 10.0, 7.0, 27.0)",,exact,1,0,6,2,10,7,27,10
79595,[H][C@@](CO)(NC(=O)CCC[C@@H](O)[C@H](O)\C=C/C=C\C=C\C=C\[C@@H](O)C\C=C/CC)[C@H](O)[C@@H](O)CCCCCCCCCCCCCC,CC\C=C\CC(O)\C=C\C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC(C)C,649.954,649.01,0.944,2.453400135,0.831677198,11,2,0,0,0,10,"(0, 11.0, 0.8316771984100342, 2, 0, 10, 8.0, 5.5, None, 11.0, 26.5)",,lower_bound,0,1,8,5.5,,11,26.5,15
84061,[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/C=C\CCCCCC)OC(=O)CCCCCCCC1OC1C\C=C/CCCCC,[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)C(O)=O,787.025,786.041,0.984,7.098247528,5.437974691,10,2,0,1,1,10,"(0, 10, 5.437974691390991, 2, 1, 10, 2.0, 3.0, 7.75, 5.0, 20.0)",,lower_bound,0,1,2,3,7.75,5,20,14
85717,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,709.15,709.15,2.27E-13,34.47566581,32.76616859,6,1,0,1,1,10,"(0, 6.0, 32.76616859436035, 1, 1, 10, 2.0, 0.0, 4.0, 2.0, 9.0)",,exact,1,0,2,0,4,2,9,6
86976,CCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)C\C=C/C[C@@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@H](O)CCCCC,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC(OC)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O,610.873,609.557,1.316,1.800708294,0.225429535,22.5,2,0,0,0,10,"(0, 22.5, 0.22542953491210938, 2, 0, 10, 22.5, None, None, None, 45.25)",,lower_bound,0,1,22.5,,,,45.25,37.5
87058,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,793.312,793.312,4.55E-13,27.81591773,26.15291905,6,1,0,1,1,10,"(0, 6.0, 26.152919054031372, 1, 1, 10, 0.0, 0.0, 1.0, 0.0, 14.0)",,exact,1,0,0,0,1,0,14,6
88912,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC,[H][C@@](CO\C=C\CCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC,695.123,694.931,0.192,2.970537186,1.233072042,13,2,0,0,0,10,"(0, 13.0, 1.23307204246521, 2, 0, 10, 13.0, None, None, None, 33.0)",,lower_bound,0,1,13,,,,33,24
91714,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C=C/[C@H](O)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,794.064,793.312,0.752,3.483510256,1.837524414,17,2,0,0,0,10,"(0, 17.0, 1.8375244140625, 2, 0, 10, 17.0, None, None, None, 31.5)",,lower_bound,0,1,17,,,,31.5,29
93324,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)C\C=C/C[C@@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@H](O)CCCCC,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC,666.981,667.069,0.088,3.573352337,2.037105322,10.75,2,0,0,0,10,"(0, 10.75, 2.0371053218841553, 2, 0, 10, 7.0, 5.0, 10.75, 8.0, 25.0)",,lower_bound,0,1,7,5,10.75,8,25,12
93715,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCC,[H][C@](CO)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCC,596.934,596.978,0.044,4.449693918,2.843985558,5,1,0,1,1,10,"(0, 4.999999999999771, 2.8439855575561523, 1, 1, 10, 3.0, 2.5, 3.25, 5.0, 11.5)",,exact,1,0,3,2.5,3.25,5,11.5,5
95805,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC,[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/[C@@H](O)CCCC)OC(=O)CCCCCCCCC(C)C,731.049,730.917,0.132,2.960921764,1.377084732,12,2,0,0,0,10,"(0, 12.0, 1.377084732055664, 2, 0, 10, 10.0, 8.5, None, 12.0, 26.5)",,lower_bound,0,1,10,8.5,,12,26.5,15
97962,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC,723.177,723.177,0,8.298049688,6.716475964,4,1,0,1,1,10,"(0, 4.000000000000222, 6.716475963592529, 1, 1, 10, 0.0, 0.0, 1.0, 0.0, 9.0)",,exact,1,0,0,0,1,0,9,4
98151,OC1C(COC(=O)C=CC2=CC=C(O)C=C2)OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C1O,OCC1OC(OC2C(O)C(O)C(CO)OC2C2=C(O)C=C3OC(=CC(=O)C3=C2O)C2=CC=C(O)C=C2)C(O)C(O)C1O,594.525,594.522,0.003,2.088709354,0.576421976,11,2,0,0,0,10,"(0, 11.0, 0.5764219760894775, 2, 0, 10, 8.0, 10.0, None, 11.0, 42.0)",,lower_bound,0,1,8,10,,11,42,18
98889,CC1=CC(O)=C2C(O)=C3C(=O)C4C(O)C5C6C(O)C(C(=O)C7=C(O)C8=C(O)C=C(C)C(O)=C8C(=O)C467)C35C(=O)C2=C1O,CC(C)C1=C(C(O)=NC2=CC=CC=C2O)C(=C(N1CCC(O)CC(O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,574.494,574.649,0.155,2.223464966,0.281438351,16.5,2,0,0,0,10,"(0, 16.5, 0.28143835067749023, 2, 0, 10, 16.5, None, None, None, 42.75)",,lower_bound,0,1,16.5,,,,42.75,42.5
99980,[H][C@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC,CC1(C)C(CCC2(C=O)C1CCC1(C)C2CCC2C3=CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OCC(O)C(O)C1O)C(O)=O,779.285,778.933,0.352,2.065549374,0.637331009,25,2,0,0,0,10,"(0, 25.0, 0.6373310089111328, 2, 0, 10, 25.0, None, None, None, 47.0)",,lower_bound,0,1,25,,,,47,36
101536,[H][C@@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCCCCCCCCC(C)C,737.204,737.116,0.088,3.648901224,2.103823662,14.5,2,0,0,0,10,"(0, 14.5, 2.103823661804199, 2, 0, 10, 9.0, 5.0, 14.5, 10.0, 25.0)",,lower_bound,0,1,9,5,14.5,10,25,14
102018,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCC,779.285,779.285,1.14E-13,22.59581494,20.99700451,6,1,0,1,1,10,"(0, 6.0, 20.997004508972168, 1, 1, 10, 1.0, 0.0, 2.5, 1.0, 10.0)",,exact,1,0,1,0,2.5,1,10,6
103781,[H]C(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)(COP(O)(=O)OCCNC)OC(=O)CCCCCCC\C=C/CCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCC(O)\C=C\C=C\C\C=C\CC,728.005,728.989,0.984,6.089685202,4.390396118,10,2,0,1,1,10,"(0, 10, 4.3903961181640625, 2, 1, 10, 3.0, 2.0, 7.25, 5.0, 20.0)",,lower_bound,0,1,3,2,7.25,5,20,12
104071,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCC\C=C/C\C=C/C=C/[C@H](O)C\C=C/CCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,779.285,778.021,1.264,2.96933651,1.518892765,17,2,0,0,0,10,"(0, 17.0, 1.518892765045166, 2, 0, 10, 17.0, None, None, None, 35.0)",,lower_bound,0,1,17,,,,35,26
107766,CC(CCC(=O)NC(CCCNC(N)=O)C(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,CCCCCCCC(=O)OC[C@@H](O)COC(=O)CCC[C@H](O)[C@@H](O)\C=C/C=C\C=C\C=C\[C@H](O)C\C=C/CC,549.753,550.733,0.98,1.878113747,0.256679296,15,2,0,0,0,10,"(0, 15.0, 0.2566792964935303, 2, 0, 10, 8.0, 15.0, None, None, 30.0)",,lower_bound,0,1,8,15,,,30,26
